,SN,0,1,2
408,SDSS-II SN 2630,-64.28882,-25.927347,-20.284397
409,SDSS-II SN 2808,-62.945885,-49.579388,1.6805967
410,SDSS-II SN 2912,-9.112885,-64.80289,-1.1924504
411,SDSS-II SN 3090,-26.353245,1.9231794,45.84564
412,SDSS-II SN 3196,4.656083,-30.908699,-71.95034
413,SDSS-II SN 3344,-36.483547,-53.326977,34.06482
414,SDSS-II SN 3368,-31.6622,-25.847372,-70.402794
415,SDSS-II SN 3417,-50.021133,23.96171,-13.538217
416,SDSS-II SN 3514,-58.056778,-40.858112,32.637543
417,SDSS-II SN 3529,-20.685102,-31.654654,48.18496
418,SDSS-II SN 3533,-64.87617,-50.267075,-9.134109
419,SDSS-II SN 3558,-31.876036,-12.260173,18.82136
420,SDSS-II SN 3565,-85.97569,34.86991,9.655957
421,SDSS-II SN 3983,-52.37544,-40.762444,-0.43053582
422,SDSS-II SN 4019,-57.122288,-25.58564,12.873631
423,SDSS-II SN 4044,-2.6919694,-0.53165686,-68.24615
424,SDSS-II SN 4104,-45.772434,20.052797,18.031858
425,SDSS-II SN 4129,-19.308516,-13.013814,-39.383854
426,SDSS-II SN 4181,-67.60927,-21.211775,9.534321
427,SDSS-II SN 4307,-81.24206,-5.0165796,16.020126
428,SDSS-II SN 4330,-17.287199,-51.384865,35.300293
429,SDSS-II SN 4375,-32.16471,-54.073425,43.86995
430,SDSS-II SN 4534,-35.225216,-53.278053,-63.876335
431,SDSS-II SN 4606,0.4268935,-34.171906,28.179321
432,SDSS-II SN 4888,6.127554,-24.85541,13.485335
433,SDSS-II SN 4906,-37.868088,3.3430023,23.340353
434,SDSS-II SN 4907,-49.42534,-0.43798554,-38.52232
435,SDSS-II SN 4966,-79.94388,-28.524635,23.726221
436,SDSS-II SN 4978,-33.88088,-58.827,-23.823053
437,SDSS-II SN 5001,-15.948618,22.928843,23.058342
438,SDSS-II SN 5235,-37.603466,-3.2160065,-34.374928
439,SDSS-II SN 5401,-31.040922,12.578329,-25.194517
