,SN,0,1,2,3,4,5
262,SDSS-II SN 15055,-3.345041,13.717077,-0.14992245,-14.946152,-2.9388113,-10.487107
263,SDSS-II SN 15160,-5.409561,18.760618,-1.1426766,-5.4870057,11.065253,-4.80867
264,SDSS-II SN 15198,-4.938428,5.9385343,-1.1790645,-9.985538,-9.868845,-14.190092
265,SDSS-II SN 15239,-8.478194,11.156483,12.168778,-3.6560814,-7.599322,4.527441
266,SDSS-II SN 15272,-11.671305,1.4412032,-5.0542517,-9.1639,16.18156,5.732233
267,SDSS-II SN 15289,-11.408252,6.74197,6.383972,8.692037,-10.098342,-4.681108
268,SDSS-II SN 15309,2.052163,9.1172905,1.4666826,-16.855797,5.3988185,-1.6228133
269,SDSS-II SN 1535,-8.890599,10.156328,14.693204,-9.834118,4.732166,-7.107889
270,SDSS-II SN 15417,-0.8962186,8.329342,-1.2365389,-8.441703,3.4260306,-15.181069
271,SDSS-II SN 15539,-2.0075579,7.409799,-3.6912258,-17.73275,8.182364,3.0103588
272,SDSS-II SN 15587,-19.821033,1.2047806,-10.296724,-1.9862313,6.2728887,2.9164746
273,SDSS-II SN 15751,-17.741959,4.471491,4.121817,7.3216796,0.4459394,-5.8362527
274,SDSS-II SN 15793,-1.433418,-0.36072838,7.9216976,0.9352425,13.278908,-14.944093
275,SDSS-II SN 15903,-3.5011528,11.702683,15.274827,-8.916951,-1.8653452,-9.970648
276,SDSS-II SN 15914,-7.75248,-8.857687,-4.6214404,7.7155247,0.749728,2.8766916
277,SDSS-II SN 15944,-13.039583,15.070483,-7.679094,-7.9599543,1.8169534,-4.8160176
278,SDSS-II SN 16091,-15.054341,6.8674316,-5.0203905,-6.023444,1.7105361,-10.548723
279,SDSS-II SN 1622,-4.7356215,4.3001285,6.863887,-3.5426307,12.8000555,-6.884279
280,SDSS-II SN 16412,-4.5998936,-17.726107,2.960261,-4.690268,-1.3972522,-1.3942153
281,SDSS-II SN 16436,-9.764708,4.0166955,2.2375233,6.9004507,-12.785805,-13.548806
282,SDSS-II SN 16455,-6.214993,16.383562,16.23201,3.8727648,-0.76173776,0.5005932
