,SN,0,1
544,SN2007oy,-14.3931265,-19.16063
545,SN2007pf,20.982315,-8.604015
546,SN2007pg,20.53261,-7.9401817
547,SN2007pr,-15.36047,-13.005071
548,SN2007ps,-0.14036177,-21.531647
549,SN2007py,-13.529972,-14.407219
550,SN2007qa,19.162346,-10.570838
551,SN2007qd,15.997369,-7.559606
552,SN2007qj,11.432115,-14.382639
553,SN2007qs,11.95054,-17.12087
554,SN2007qu,15.558826,-14.580295
555,SN2007rg,1.6190275,-21.469791
556,SN2007rn,6.262659,-13.185117
557,SN2007rq,3.8011854,-16.542082
558,SN2007sl,18.707682,-7.9546843
559,SN2007tt,-13.488754,-17.980473
560,SDSS-II SN 10480,-19.891459,-15.896696
561,SDSS-II SN 13147,-23.774754,-13.455947
562,SDSS-II SN 13483,-6.904874,-7.929891
563,SDSS-II SN 13820,4.1125827,-24.17798
564,SDSS-II SN 1385,3.6886525,-11.612149
565,SDSS-II SN 13991,-7.7679405,-2.8182712
