0,1,2,3,4,5,6,7,8
SDSS-II SN 14304 (g'r'i'),-0.8209084,0.024405422,-0.93974555,-0.88531154,0.45557797,-2.0693467,0.26885447,-0.7802999
SDSS-II SN 14305 (g'r'i'),-0.6738698,-0.053597428,-0.63450664,-0.93987495,-0.6770274,-1.2148559,1.3693826,-0.6422187
SDSS-II SN 14308 (g'r'i'),-0.46569294,-1.5334092,-0.75967115,0.8132844,-2.6631863,0.83811116,0.5650688,1.4274073
SDSS-II SN 14309 (g'r'i'),1.3985913,-0.43097085,-0.99441206,-1.3325487,2.3984904,0.5276853,0.018952778,-2.038266
SDSS-II SN 14310 (g'r'i'),-1.2825004,0.7187921,1.8737738,0.17295502,-0.6810069,-2.0297258,0.6940062,-0.17773665
SDSS-II SN 14311 (g'r'i'),-1.2269131,1.125012,0.83720064,1.0923721,-0.67825854,-0.57608014,0.73889697,4.523992
SDSS-II SN 14322 (g'r'i'),-1.9442514,0.6929889,1.6593791,0.98711216,-1.1262846,-1.4878426,0.7082709,1.2144793
SDSS-II SN 14329 (g'r'i'),1.5280194,0.2841316,-0.056596477,-1.4347166,2.235365,0.72861564,-0.23543622,-2.6929502
SDSS-II SN 14332 (g'r'i'),2.4381738,0.5441518,1.3710594,-0.19145685,1.780272,0.9183357,-2.5466077,-5.1391697
SDSS-II SN 14334 (g'r'i'),1.9239671,-1.4731092,-1.1051589,-0.95196223,0.4651859,0.85859114,0.90611655,-1.4829968
SDSS-II SN 14335 (g'r'i'),1.5158235,1.1550255,1.2712505,-0.6083053,3.1319814,-0.5776513,-1.7579558,-4.232055
SDSS-II SN 14343 (g'r'i'),-0.05171355,-0.8053941,-0.4562393,-1.4045779,-0.18252352,-1.1550792,0.8070758,-1.2385495
SDSS-II SN 14347 (g'r'i'),0.3032971,1.2988156,-0.49573413,-1.4383591,1.4388999,-0.32670182,-0.4702512,-1.9671122
SDSS-II SN 14355 (g'r'i'),-1.7344514,0.6736349,1.3399019,1.7873374,-1.2885357,0.61716443,-2.025049,0.50921255
SDSS-II SN 14357 (g'r'i'),-0.024252301,0.6669509,2.0516214,0.89324284,-1.6839842,-1.7396115,0.6476793,1.8742769
SDSS-II SN 14361 (g'r'i'),0.4116407,-0.35205743,2.49729,0.93149054,-0.6224683,-1.2769599,-0.628207,-1.2066045
SDSS-II SN 14375 (g'r'i'),-0.5211809,-0.24349737,1.1142772,0.5221635,-1.1826469,-1.9986284,0.38267422,-0.89821744
SDSS-II SN 14400 (g'r'i'),0.50370175,0.7538646,2.5240293,0.055628035,1.8684398,0.8667936,-1.7684249,-3.5351121
SDSS-II SN 14415 (g'r'i'),0.76426554,1.6944709,0.67279,-0.60150695,2.4317844,-0.26461333,-0.9215128,-2.7834966
SDSS-II SN 14429 (g'r'i'),-0.3277329,0.2923372,2.2694864,1.302497,-0.81947434,-1.4949626,-0.55929226,-0.25939396
SDSS-II SN 14438 (g'r'i'),0.6109854,0.027111739,-0.55733675,-2.0073931,0.077686794,-0.13922702,0.712947,-2.0140944
SDSS-II SN 14444 (g'r'i'),-1.7829951,-0.87299526,0.038750894,0.052914884,-2.4120996,0.17855287,1.1395538,1.396877
SDSS-II SN 14452 (g'r'i'),-2.042571,0.08025684,0.35094288,0.58032566,-2.1357157,0.53129745,0.8048323,2.483988
SDSS-II SN 14453 (g'r'i'),-1.8189445,-0.10268977,0.6368999,0.45549363,-0.83177555,-1.5402023,1.6186484,1.5497466
SDSS-II SN 14455 (g'r'i'),-0.2004295,0.54652035,1.8001986,1.3695635,-1.448284,-1.9401791,0.5246471,1.55992
SDSS-II SN 14461 (g'r'i'),1.6723218,-0.41213912,2.5868857,1.4290295,0.42214492,-0.5394418,-0.7868042,-2.302957
SDSS-II SN 14463 (g'r'i'),0.4218855,-0.2803009,-1.2688628,-1.7191728,-0.45528147,0.18280655,1.1755111,-1.2527295
SDSS-II SN 14467 (g'r'i'),-0.226447,-1.2907256,0.354831,-0.91941535,-1.3551257,-1.4420564,1.5052152,0.49195236
SDSS-II SN 14470 (g'r'i'),-0.87395704,-1.6154424,-0.815532,-1.3073452,-1.4220604,0.62085825,1.395923,0.47457743
SDSS-II SN 14472 (g'r'i'),1.3345245,-1.323686,1.3548486,-0.4516495,0.42899072,0.17461602,0.32273486,-2.0902047
SDSS-II SN 14475 (g'r'i'),0.16559032,-0.28782675,-0.33139682,-0.23812658,1.0470403,-1.8862798,2.1454527,0.45677817
