,SN,0,1,2,3,4
283,SDSS-II SN 16582,-15.401499,1.3030635,-13.643995,-15.782062,-15.348157
284,SDSS-II SN 16768,-9.105045,-2.0097623,-14.311005,-21.401806,-3.6862838
285,SDSS-II SN 16838,8.656202,4.1962805,-0.0068982793,17.955935,-5.0731363
286,SDSS-II SN 16977,4.8346562,9.1050625,8.674673,9.708615,-6.1580315
287,SDSS-II SN 17219,11.619273,-12.295475,-7.6680355,-10.480942,-14.239669
288,SDSS-II SN 17303,-4.2996125,2.3608356,11.2968235,4.2579837,-11.84373
289,SDSS-II SN 17330,14.4478245,1.0948037,12.239604,-8.463651,-4.106435
290,SDSS-II SN 17396,-27.403023,3.457502,-16.731457,-11.477995,-9.667311
291,SDSS-II SN 17422,15.236672,12.418114,17.546053,6.3794484,-16.490791
292,SDSS-II SN 17465,21.781881,11.55994,14.859934,1.3808057,-3.5025551
293,SDSS-II SN 17466,-26.121275,3.0417397,0.52085,-19.102556,-3.42343
294,SDSS-II SN 1750,-11.690614,8.216141,-11.480529,-19.49801,-14.146549
295,SDSS-II SN 17508,-2.7709286,-4.8190293,1.2479979,-7.738934,-23.424736
296,SDSS-II SN 17539,8.369872,-1.1906731,6.0434566,20.352516,-11.641675
297,SDSS-II SN 17542,6.9079785,-12.158101,1.2770108,-5.762226,-11.937615
298,SDSS-II SN 17620,-22.525337,5.439708,-5.1326165,-15.516526,-2.8073235
299,SDSS-II SN 17662,5.910236,3.758549,21.932796,-4.929098,-1.8284984
300,SDSS-II SN 17667,5.09197,1.0946494,-7.1540403,-8.66677,-12.337493
301,SDSS-II SN 17682,-3.7277358,-6.1290402,-14.379394,-7.8532977,-12.918719
302,SDSS-II SN 17729,3.0774713,-6.3468575,23.743086,-14.795057,-5.350822
303,SDSS-II SN 1773,-24.093462,-6.131308,-10.088537,-17.502256,-7.2224383
304,SDSS-II SN 17748,24.400661,-2.883601,14.565159,-13.694914,-9.988661
