,SN,0,1,2,3,4,5,6,7
178,SN2005ge,-2.835313,8.214097,3.672154,8.8886385,0.6390612,1.2147864,-0.9689219,-3.926841
179,SN2005hu,0.432268,2.6912813,-4.8324904,8.646018,0.87510043,-13.63052,2.4909244,-5.224606
180,SN2005ia,-5.980997,7.0627627,-8.023154,5.414511,-1.4618201,-5.2468314,8.426193,-4.029663
181,SN2005ic,5.2223606,1.5592856,-0.9100266,7.2207656,6.9269567,-8.74026,2.3773842,-3.1871061
182,SN2005ie,0.8535559,7.8894663,1.5390623,9.145381,4.2717676,2.2323353,-2.7406106,3.4195588
183,SN2005ih,-9.571937,7.8549223,0.76158935,4.9448924,-2.5703993,0.8427793,3.012516,-4.5489874
184,SN2005jh,-0.8439377,5.157478,-3.8377464,4.140282,-6.3631487,-3.7407386,13.416505,5.151471
185,SN2005jk,-5.912777,2.1011,2.0642343,11.794686,1.3951083,0.58574295,1.0778182,2.3905764
186,SN2005jo,-8.308528,5.093075,1.903001,7.5350113,3.0155835,-2.4674056,-1.8714571,-0.7532168
187,SN2005jt,-0.36534733,-0.76887953,-4.3862805,2.8641133,13.019579,-0.015899332,-1.8071896,-10.635276
188,SN2005mh,-0.7914426,5.8781137,0.6346582,6.900088,2.7532136,-6.7820897,-6.7459173,-5.412907
189,SN2006fo,-0.5460135,-1.9907606,-8.398205,8.503435,2.334331,4.9890223,-5.794005,-8.159443
190,SN2006gm,-2.1872823,5.831242,-1.432424,6.0095286,8.874464,-0.97156173,-1.4191428,3.842282
191,SN2006hc,-10.485456,2.2737222,-1.893387,5.3994346,-9.567251,-3.5464995,2.7786992,2.647468
192,SN2006jo,-5.7104626,-1.8005649,-10.308678,-0.24283232,4.254099,-5.1711173,-0.79305834,-4.651631
193,SN2006jx,-0.8737128,-4.703944,-0.55535775,1.8166776,13.910996,-2.4132967,-6.7906227,-2.6346195
194,SN2006no,-9.815744,-3.5775113,-2.212341,4.5352716,2.432738,-5.769574,-1.4901723,2.621475
195,SN2007ky,0.006541502,-3.652915,-6.2969036,6.8748426,-6.682028,-4.036557,-3.7781394,-7.6378775
196,SN2007ny,-3.9346118,7.1695986,-5.8995304,4.4668646,-5.84742,2.3374827,2.173429,2.7200105
197,SDSS-II SN 10997,-1.637173,9.726092,0.15346307,8.2837305,-7.7537045,-7.958086,3.7691576,-1.7638308
198,SDSS-II SN 11120,-1.331746,1.2580932,5.1705885,7.630959,-1.0263017,-0.9931243,8.066002,4.3526993
199,SDSS-II SN 11532,-45.67158,28.248644,-1.098848,20.280022,-14.039909,17.318975,29.744951,39.244198
200,SDSS-II SN 12213,0.5689957,-6.335988,-3.275876,4.950382,0.9021186,8.671215,-1.2190514,-6.621648
201,SDSS-II SN 1257,-3.6688378,5.6127024,0.4817346,1.0167137,-0.30605933,-10.350886,8.523033,2.627945
202,SDSS-II SN 12879,-0.25666973,5.917844,2.5108802,4.1167583,-0.6539899,-14.875493,-1.3995106,0.9994305
203,SDSS-II SN 12936,-0.74897206,0.23520887,2.969,6.9232492,7.2251506,-1.8618778,3.9882505,-5.7064786
204,SDSS-II SN 12939,-0.5844423,2.6445167,-4.156016,7.782536,4.0051985,-5.0760803,5.387842,2.96867
205,SDSS-II SN 12964,3.8303006,-2.4008806,4.239725,10.778347,2.3714855,-0.15191408,4.5649295,-3.8539174
206,SDSS-II SN 13051,1.581273,4.3718286,1.1860788,9.754352,-0.10257954,5.735335,-1.6626943,-1.5915784
207,SDSS-II SN 13062,-0.033691365,3.0392551,6.1396427,1.3553647,-9.450397,-2.4228232,0.18523988,-5.659581
208,SDSS-II SN 13076,-0.50459754,-10.673049,-3.6354842,1.1168196,-0.6704998,9.856584,-2.2830997,-3.9007976
209,SDSS-II SN 13096,3.170598,2.57142,-0.7674922,5.008701,2.8847797,-3.5592637,-2.527816,-4.41737
210,SDSS-II SN 13168,-6.2528667,-4.699902,0.43954638,2.1870131,-3.3712938,9.901981,-1.4907725,-2.9583066
211,SDSS-II SN 13283,-0.36593175,-1.7504822,-7.862441,-2.9055762,-2.9453442,-7.365871,0.20686057,3.8097289
212,SDSS-II SN 13291,-5.0824494,3.5857341,-1.4389431,-0.18386015,-2.4697692,-0.11418776,5.250696,-6.499138
213,SDSS-II SN 13330,-5.254117,0.85132474,0.97971654,3.965984,-8.689756,-0.5340433,0.30683056,-8.412083
